Category, Sink ID, Process ID, Thread ID, Time (Ticks), Text
PROCESS_OUTPUT,STREAM_STDIO,39,100208,855931618829,"launching : /host/C:\Users\s21119698\Desktop\ResidentSleepers-ConsoleGameDev\ConsoleGame\PS4\Build\eboot.self 
"
PROCESS_OUTPUT,STREAM_STDIO,39,100208,855931756325,"[Syscore App]TRACE : W:\Build\J02628837\sys\internal\syscore\app\app_syscore_event.cpp 926 setWaitState()
"
PROCESS_OUTPUT,STREAM_STDIO,39,100208,855931807679,"[Syscore App] Syscore Event Queue Push : SCE_SYSCORE_EVENT_LAUNCH_REQUEST_FROM_DEBUGGER
"
PROCESS_OUTPUT,STREAM_STDIO,39,100208,855931858080,"[Syscore App]TRACE : W:\Build\J02628837\sys\internal\syscore\app\app_syscore_event.cpp 961 receiveResult()
"
PROCESS_OUTPUT,STREAM_STDIO,39,100149,855932048140,"[Syscore App] Syscore Event Queue Pop : SCE_SYSCORE_EVENT_LAUNCH_REQUEST_FROM_DEBUGGER
"
PROCESS_OUTPUT,STREAM_STDIO,42,100220,855983405558,"[SceLncService] category={gd} VRMode={0,0}
"
PROCESS_OUTPUT,STREAM_STDIO,42,100220,855983709036,"[SceLncService] hnm,psnf,pc,tk,ns={1,0,1,0,1} appBootMode={1}
"
PROCESS_OUTPUT,STREAM_STDIO,42,100220,855983771381,"[SceLncService] appType={SCE_LNC_APP_TYPE_BIG_APP} [DEBUGGER] appVer={01.00}
"
PROCESS_OUTPUT,STREAM_STDIO,42,100220,855983917762,"[SceLncService] Waiting for LoginMgr
"
PROCESS_OUTPUT,STREAM_STDIO,42,100220,855983973898,"[SceLncService] Num. of logged-in users is 1
"
PROCESS_OUTPUT,STREAM_STDIO,42,100220,855984043018,"[SceLncService] PrepareProcessLaunchDebuggerCheck()
"
PROCESS_OUTPUT,STREAM_STDIO,42,100220,856039627988,"[SceLncService] PrepareProcessLaunchDebuggerCheck() returned
"
PROCESS_OUTPUT,STREAM_STDIO,42,100212,856040785064,"[SceSystemStateMgr] Power Mode Change: FULL_GAME
"
PROCESS_OUTPUT,STREAM_STDIO,39,100142,856057273621,"[Syscore Umd] Set memory pstate (hasRunningGame=0, hasRunningMiniApp=0, isSplashDisplayed=0
"
CP_KERNEL_OUTPUT,STREAM_SYSCON,0,0,537048243,"[Syscore Umd] Set memory pstate (hasRunningGame=0, hasRunningMiniApp=0, isSplashDisplayed=0
"
PROCESS_OUTPUT,STREAM_STDIO,42,100212,856350975154,"[SceSystemStateMgr] Bug#183465 workaround is activated. vid_diff = -3, mgcg = 1
"
PROCESS_OUTPUT,STREAM_STDIO,39,100143,856376479200,"[Syscore Umd] Switching to Neo mode.
"
CP_KERNEL_OUTPUT,STREAM_SYSCON,0,0,537243634,"[Syscore Umd] Switching to Neo mode.
"
PROCESS_OUTPUT,STREAM_STDIO,39,100143,856427216934,"[Syscore App] W:\Build\J02628837\sys\internal\syscore\app/process_monitor.h(250) m_currentMode=2
"
PROCESS_OUTPUT,STREAM_STDIO,42,100212,856427654907,"[SceSystemStateMgr] CPU  HLT CP SE CU ACLK DCLK ECLK LCLK SCLK SAMCLK VCLK DispCLK NCLK MemCLK MemP GMC DPM VDD      VDDNB    S"
PROCESS_OUTPUT,STREAM_STDIO,42,100212,856427733702,"OC      
"
PROCESS_OUTPUT,STREAM_STDIO,42,100212,856427792157,"[SceSystemStateMgr] 2100   0 GL  4 36  800  853  711  800  911    800  984     673 1700   1700   GL  GL   3 050/1037 043/1106 0"
PROCESS_OUTPUT,STREAM_STDIO,42,100212,856427863775,"0740f12
"
PROCESS_OUTPUT,STREAM_STDIO,42,100220,856428355851,"[SceLncService] PrepareProcessLaunchDebugger()
"
PROCESS_OUTPUT,STREAM_STDIO,42,100220,856538908726,"[BGFT] [606] GameWillStart(NPXX51362, 3) start
"
PROCESS_OUTPUT,STREAM_STDIO,42,100220,856539220934,"[BGFT] [608] GameWillStart(NPXX51362, 3) end
"
PROCESS_OUTPUT,STREAM_STDIO,42,100220,856540116087,"sceNpAsmClientGetServiceIdInfoA() ret = 0x8055000a (Service ID list for AC obtainment failure)
"
PROCESS_OUTPUT,STREAM_STDIO,42,100220,856609754193,"[SceLncService] PrepareProcessLaunchDebugger() returned
"
